"";"A.Sapkowski_Miecz_przeznaczenia_fragment";"A.Sapkowski_Ostatnie_¿yczenie_fragment";"A.Sapkowski_Pani_Jeziora_fragment";"A.Sapkowski_Wie¿a_Jaskó³ki_fragment";"Bhagawatam_Œrimad_Damodara_lila_fragment";"C.Sagan_Kontakt_fragment";"C.Sagan_Kontakt_fragment2";"C.Sagan_Miliardy_Miliardy";"C.Sagan_Swiat_nawiedzany_przez_demony_fragment";"J.R.R.Tolkien_Dwie-Wie¿e_fragment";"J.R.R.Tolkien_Hobbit_fragment";"J.R.R.Tolkien_Powrót-Króla_fragment";"J.R.R.Tolkien_Wyprawa_frament";"Komentarz_do_Ewangelii_wg_Œw._Mateusza_fragment";"£.Siatkowski_Opowieœci_biblijne_fragment";"P.Skarga_¯ywoty_Pañskich_Œwiêtych";"S.Lem_Czlowiek_z_Marsa_fragment";"S.Lem_Odruch_warunkowy";"S.Lem_Pokoj_na_Ziemi_fragment";"S.Lem_Powrot_z_Gwiazd_frament"
"jesteœmy";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"jeœæ";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"jêzyk";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"kamieñ";0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"karmiæ";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kazaæ";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ka¿dy";0;0;0;0;1;0;1;5;1;0;0;0;0;2;2;0;1;0;0;0
"kierunek";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kilka";0;0;0;1;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0
"kobieta";0;0;1;1;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0
"kolano";0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"koniec";0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
"koñ";1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"koñczyæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"korona";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"koœció³";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
"kraj";2;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0
"kroki";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"król";0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
"królewski";1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"krótki";0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"kryjówka";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"ksiê¿yc";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
"kszta³t";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"który";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"las";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"lata";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"ledwie";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"lekcewa¿yæ";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"lekki";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"lepiej";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"le¿eæ";0;0;3;0;0;0;0;0;0;0;1;1;0;0;4;0;0;0;0;0
"liczny";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"liczyæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"lina";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"los";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0
"lubiæ";0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"ludzi";0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;2;0;0;0;0
"ludzie";0;0;0;1;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0
"ludzki";0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"³adunek";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"³añcuch";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"³ó¿ko";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"³za";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"macka";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"magiczny";0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"malutki";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ma³a";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ma³y";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mam";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"martwy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"matka";0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"m¹¿";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0
"mego";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"mê¿czyzna";0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
"mg³a";1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"mia³";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"miasta";0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"miecz";0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"mieæ";0;0;0;3;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
"miejsce";0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"mieliæ";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"miêdzy";0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0
"mn¹";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
"mocno";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"moich";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"moim";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"moje";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;1
